universidade;curso;campus;turno/grau;redacao;ciencias humanas;ciencias da natureza;linguagens e codigos;matematica;soma pesos;nota corte
UFG;RELAÇÕES PÚBLICAS;Câmpus Samambaia;Matutino (Bacharelado);2,5;2;1;2,5;2;10;697,79
UFG;MATEMÁTICA APLICADA E COMPUTACIONAL;Câmpus Samambaia;Vespertino (Bacharelado);1,5;1;2,5;2;3;10;697,85
UFG;ARTES VISUAIS;Câmpus Samambaia;Semipresencial (Licenciatura);2,5;2,5;1;3;1;10;704,73
UFG;GESTÃO DA INFORMAÇÃO;Câmpus Samambaia;Matutino (Bacharelado);2,5;2;1;2,5;2;10;706,02
UFG;LETRAS: PORTUGUÊS;Câmpus Samambaia;Matutino (Licenciatura);2,5;2,5;1;3;1;10;708,06
UFG;NUTRIÇÃO;Câmpus Colemar Natal e Silva (Goiânia);Matutino (Bacharelado);2;1,5;3;2;1,5;10;709,04
UFG;ADMINISTRAÇÃO;Câmpus Samambaia;Noturno (Bacharelado);2,5;2;1;2,5;2;10;709,85
UFG;FARMÁCIA;Câmpus Colemar Natal e Silva (Goiânia);Integral (Bacharelado);2;1,5;3;2;1,5;10;710,32
UFG;CIÊNCIAS BIOLÓGICAS;Câmpus Samambaia;Integral (Bacharelado);1,5;1;2,5;2;3;10;710,85
UFG;LETRAS: ESTUDOS LITERÁRIOS;Câmpus Samambaia;Vespertino (Bacharelado);2,5;2,5;1;3;1;10;711,8
UFG;JORNALISMO;Câmpus Samambaia;Matutino (Bacharelado);2,5;2;1;2,5;2;10;712,3
UFG;LETRAS: INGLÊS;Câmpus Samambaia;Matutino (Licenciatura);2,5;2,5;1;3;1;10;715,76
UFG;MEDICINA VETERINÁRIA;Câmpus Samambaia;Integral (Bacharelado);2;1;3;2;2;10;716,16
UFG;DESIGN DE MODA;Câmpus Samambaia;Noturno (Bacharelado);2,5;2,5;1;3;1;10;716,45
UFG;CIÊNCIAS CONTÁBEIS;Câmpus Samambaia;Noturno (Bacharelado);2,5;2;1;2,5;2;10;718,41
UFG;DESIGN GRÁFICO E DIGITAL;Câmpus Samambaia;Vespertino (Bacharelado);2,5;2,5;1;3;1;10;721,05
UFG;FISIOTERAPIA;Câmpus Colemar Natal e Silva (Goiânia);Integral (Bacharelado);2;1,5;3;2;1,5;10;723,42
UFG;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA;Câmpus Samambaia;Vespertino (Bacharelado);2,5;2;1;2,5;2;10;725,62
UFG;ENFERMAGEM;Câmpus Colemar Natal e Silva (Goiânia);Integral (Bacharelado);2;1,5;3;2;1,5;10;726,09
UFG;BIOMEDICINA;Câmpus Samambaia;Integral (Bacharelado);2;1,5;3;2;1,5;10;727,98
UFG;ARTES VISUAIS;Câmpus Samambaia;Matutino (Bacharelado);2,5;2,5;1;3;1;10;730,53
UFG;CIÊNCIAS CONTÁBEIS;Câmpus Samambaia;Matutino (Bacharelado);2,5;2;1;2,5;2;10;731,5
UFG;ENGENHARIA CIVIL;Câmpus Colemar Natal e Silva (Goiânia);Integral (Bacharelado);1,5;1;2,5;2;3;10;732,75
UFG;CIÊNCIAS ECONÔMICAS;Câmpus Samambaia;Noturno (Bacharelado);2,5;2;1;2,5;2;10;737,2
UFG;ENGENHARIA ELÉTRICA;Câmpus Colemar Natal e Silva (Goiânia);Integral (Bacharelado);1,5;1;2,5;2;3;10;740,78
UFG;CIÊNCIAS ECONÔMICAS;Câmpus Samambaia;Matutino (Bacharelado);2,5;2;1;2,5;2;10;743,65
UFG;BIOTECNOLOGIA;Câmpus Colemar Natal e Silva (Goiânia);Integral (Bacharelado);1,5;1;2,5;2;3;10;745,79
